,Location ID,City,City Area,Area,Name,Address,Latitude,Longitude,Rating,Total Reviews,Place ID,Google Maps URL,full_location
94,LOC_2,Chennai,Chitlapakkam,Chitlapakkam,Naturals Signature Salon Hasthinapuram,"Ground Floor, 35, Dr Rajendra Prasad Rd, near NSN School, Nehru Nagar, Chromepet, Chennai, Tamil Nadu 600044, India",12.9423475,80.1418197,4.8,2880,ChIJXS3RwKpfUjoReizoYiuHWeQ,https://www.google.com/maps/place/?q=place_id:ChIJXS3RwKpfUjoReizoYiuHWeQ,Chennai ChitlapakkamNaturals Signature Salon Hasthinapuram
97,LOC_5,Chennai,Chitlapakkam,Chitlapakkam,Naturals Signature Salon,"1st Floor, Plot No 7/8A, 3rd Main Rd, above Union Bank of India, New Colony, Chromepet, Chennai, Tamil Nadu 600044, India",12.9534393,80.1381887,4.8,493,ChIJ6Qmu7lFfUjoRuAfmgFSr4wU,https://www.google.com/maps/place/?q=place_id:ChIJ6Qmu7lFfUjoRuAfmgFSr4wU,Chennai ChitlapakkamNaturals Signature Salon
99,LOC_2,Chennai,Chrompet,Chrompet,Naturals Salon,"1st Floor, 89, Radha Nagar Main Rd, above TMB Bank ATM, Srinivasapuram, Chromepet, Chennai, Tamil Nadu 600044, India",12.9513151,80.1470257,4.9,322,ChIJE5nUwzFfUjoRnc8vucH6rhk,https://www.google.com/maps/place/?q=place_id:ChIJE5nUwzFfUjoRnc8vucH6rhk,Chennai ChrompetNaturals Salon
101,LOC_4,Chennai,Chrompet,Chrompet,Naturals Salon,"1st Floor, No 129/100, Pammal Main Rd, opposite Reliance Trends, Allapakkam, Krishna Nagar, Muthamizh Nagar, Pallavaram, Kanchipuram, Chennai, Tamil Nadu 600075, India",12.97281,80.13846099999999,4.7,2705,ChIJ4biw0cxfUjoRGdgNSp_euDk,https://www.google.com/maps/place/?q=place_id:ChIJ4biw0cxfUjoRGdgNSp_euDk,Chennai ChrompetNaturals Salon
104,LOC_7,Chennai,Chrompet,Chrompet,Naturals Salon & Spa Chromepet,"142, Gst Road, Opp Vettri Theater, Radha Nagar, opp. to Vettri Theater, Lakshmi Nagar, Shanthi Nagar, Chromepet, Chennai, Tamil Nadu 600044, India",12.9542266,80.14227509999999,4.3,600,ChIJI2180bJfUjoRQ4DFD7PjE8c,https://www.google.com/maps/place/?q=place_id:ChIJI2180bJfUjoRQ4DFD7PjE8c,Chennai ChrompetNaturals Salon & Spa Chromepet
105,LOC_1,Chennai,CIT Nagar,CIT Nagar,Naturals Salon,"Old No 56, 1st Floor, Bus Stop, No 25, S W Boag Rd, near CIT Nagar, CIT Nagar West, T. Nagar, Chennai, Tamil Nadu 600017, India",13.0309377,80.23164779999999,4.6,1059,ChIJqdvDdapnUjoRmIT_759vsXc,https://www.google.com/maps/place/?q=place_id:ChIJqdvDdapnUjoRmIT_759vsXc,Chennai CIT NagarNaturals Salon
106,LOC_1,Chennai,Egmore,Egmore,Naturals Salon,"73, CASA Major Road Sulaiman Zackria Avenue, Egmore, near Sulaiman Zackria Avenue, Chetpet, Chennai, Tamil Nadu 600008, India",13.0721299,80.2523339,4.5,1161,ChIJw6eEqcNnUjoR_b_qbSPo0G4,https://www.google.com/maps/place/?q=place_id:ChIJw6eEqcNnUjoR_b_qbSPo0G4,Chennai EgmoreNaturals Salon
107,LOC_2,Chennai,Egmore,Egmore,Naturals Salon Egmore Alsa Mall,"No 149, Floor No G1, Alsa Mall Shopping Complex, Red Cross Rd, opposite THE ATLANTIC RESIDENCES, Egmore, Chennai, Tamil Nadu 600008, India",13.0687037,80.2572569,4.9,321,ChIJw-ZHfCtnUjoRWxBb_A-kNEQ,https://www.google.com/maps/place/?q=place_id:ChIJw-ZHfCtnUjoRWxBb_A-kNEQ,Chennai EgmoreNaturals Salon Egmore Alsa Mall
108,LOC_3,Chennai,Egmore,Egmore,Naturals,"No.18, Ritherdon Rd, opposite to seventh day school, Periamet, Vepery, Purasaiwakkam, Chennai, Tamil Nadu 600007, India",13.0818626,80.2586675,4.3,1059,ChIJy35fouFlUjoRbt9C5iCwdYk,https://www.google.com/maps/place/?q=place_id:ChIJy35fouFlUjoRbt9C5iCwdYk,Chennai EgmoreNaturals
109,LOC_1,Chennai,Ekkatuthangal,Ekkatuthangal,Naturals Salon,"2 & 3, 100 Feet Rd, Ambal Nagar, Ekkatuthangal, Chennai, Tamil Nadu 600032, India",13.0202956,80.2061086,4.7,1968,ChIJaVvU9jxnUjoRkh7iNmHaS9E,https://www.google.com/maps/place/?q=place_id:ChIJaVvU9jxnUjoRkh7iNmHaS9E,Chennai EkkatuthangalNaturals Salon
111,LOC_1,Chennai,Gerugambakkam,Gerugambakkam,Naturals Salon,"1st & 2nd Floor, 173, Sankaralinganar St, above Apollo, Gerugambakkam, Chennai, Tamil Nadu 600122, India",13.0108311,80.13959469999999,4.8,1300,ChIJfyPD7_9hUjoRmo20YaDljH8,https://www.google.com/maps/place/?q=place_id:ChIJfyPD7_9hUjoRmo20YaDljH8,Chennai GerugambakkamNaturals Salon
